名称,标签,地址,简介,图片URL,详情页
抹茶酥,甜品类,东四北大街126号,精选优质食材，十足好料，传统工艺精心烘制，口感细腻，层层酥脆，抹茶味清香，有助消化和消脂。美味不可多得。,https://r1.visitbeijing.com.cn/vbj-s/2017/0428/20170428030323806.jpg,https://s.visitbeijing.com.cn/food/369
绿豆饼,甜品类,东四北大街126号,饼皮浅黄色，印有“绿豆”字样，内馅包裹香醇绿豆，口感细腻香甜。,https://r1.visitbeijing.com.cn/vbj-s/2017/0428/20170428025306477.jpg,https://s.visitbeijing.com.cn/food/368
莲蓉饼,甜品类,东四北大街126号,饼皮金黄，酥软细腻，莲蓉内馅，口感细腻香甜诱人，酥松不油，混以淡淡莲蓉香，品食后唇齿留香，回味无穷。,https://r1.visitbeijing.com.cn/vbj-s/2017/0428/20170428024558699.jpg,https://s.visitbeijing.com.cn/food/367
黄油枣泥饼,甜品类,东四北大街126号,饼皮浅黄，雕刻有“黄油枣泥”字样及精致花纹，口感酥松，有淡淡奶香。馅心为秘制枣泥馅，混合着天然枣泥中的丝丝微苦，将内馅的软糯和外皮的酥松完美的结合。,https://r1.visitbeijing.com.cn/vbj-s/2017/0428/20170428024044778.jpg,https://s.visitbeijing.com.cn/food/366
黑麻椒盐饼,甜品类,东四北大街126号,黑麻椒盐饼，饼皮金黄，饼面沾满黑芝麻，粒粒饱满，麻香四溢，口口留香，层层酥脆，咸甜相宜。食之令人回味无穷。,https://r1.visitbeijing.com.cn/vbj-s/2017/0428/20170428023605195.jpg,https://s.visitbeijing.com.cn/food/365
风梨饼,甜品类,东四北大街126号,饼皮金黄，口感酥松，表面有阳文“凤梨”字样，皮馅分明。内馅为传统凤梨果馅，馅心色泽通透，清新果香品食后回味无穷。,https://r1.visitbeijing.com.cn/vbj-s/2017/0428/20170428022743840.jpg,https://s.visitbeijing.com.cn/food/364
豆沙饼,甜品类,东四北大街126号,豆沙饼为浅黄色圆形饼状，表面金黄，红小豆内馅，面皮酥松，内馅混有淡淡玫瑰香，色泽通透金黄。,https://r1.visitbeijing.com.cn/vbj-s/2017/0428/20170428021854411.jpg,https://s.visitbeijing.com.cn/food/363
山楂酪,甜品类,团结湖路36号,山楂酪是一道以山楂为主要食材烹饪而成的菜肴。,https://r1.visitbeijing.com.cn/vbj-s/2020/0324/20200324025326728.jpg,https://s.visitbeijing.com.cn/food/361
奶饽饽,甜品类,团结湖路36号,奶饽饽作为宫廷奶品（三元梅园）之一流入民间。奶，营养丰富；饽饽，松软好吃。奶饽饽名如其品，松软可口，奶香浓郁，带着最纯正的老北京的香甜，让人回味无穷。,https://r1.visitbeijing.com.cn/vbj-s/2017/0411/20170411062228408.jpg,https://s.visitbeijing.com.cn/food/360
杏仁豆腐,甜品类,团结湖路36号,杨梅豆腐是一道甜品，主料是牛奶、杏仁粉、琼脂、糖水杨梅，辅料是开水、凉水、白糖。,https://r1.visitbeijing.com.cn/vbj-s/2020/0324/20200324025529494.jpg,https://s.visitbeijing.com.cn/food/359
